Identyfikator problemu,Opis,Stan,Ważność,Punkty scenariusza,Ścieżka projektu,Rodzaj lokalizacji,ŚCIEŻKA,Wiersz,Kolumna,Identyfikator zdarzenia,Link pomocy,Nazwa zestawu,Wersja zestawu,Klucz publiczny zestawu,Fragment kodu
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,203,12,F:System.Windows.Forms.ComboBoxStyle.DropDownList,,,,,this.comboBoxColdRestartMode.DropDownStyle = System.Windows.Forms.ComboBoxStyle.DropDownList;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,203,12,T:System.Windows.Forms.ComboBox,,,,,this.comboBoxColdRestartMode.DropDownStyle = System.Windows.Forms.ComboBoxStyle.DropDownList;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,203,12,T:System.Windows.Forms.ComboBoxStyle,,,,,this.comboBoxColdRestartMode.DropDownStyle = System.Windows.Forms.ComboBoxStyle.DropDownList;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,203,12,P:System.Windows.Forms.ComboBox.DropDownStyle,,,,,this.comboBoxColdRestartMode.DropDownStyle = System.Windows.Forms.ComboBoxStyle.DropDownList;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,199,12,T:System.Windows.Forms.Label,,,,,"this.label1.Text = ""Cold Restart Mode"";"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,199,12,P:System.Windows.Forms.Label.Text,,,,,"this.label1.Text = ""Cold Restart Mode"";"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,198,12,T:System.Windows.Forms.Label,,,,,this.label1.TabIndex = 5;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,198,12,P:System.Windows.Forms.Control.TabIndex,,,,,this.label1.TabIndex = 5;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,197,12,T:System.Windows.Forms.Label,,,,,"this.label1.Size = new System.Drawing.Size(95, 13);"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,197,12,P:System.Windows.Forms.Control.Size,,,,,"this.label1.Size = new System.Drawing.Size(95, 13);"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,196,12,T:System.Windows.Forms.Label,,,,,"this.label1.Name = ""label1"";"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,196,12,P:System.Windows.Forms.Control.Name,,,,,"this.label1.Name = ""label1"";"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,195,12,T:System.Windows.Forms.Label,,,,,"this.label1.Location = new System.Drawing.Point(20, 94);"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,195,12,P:System.Windows.Forms.Control.Location,,,,,"this.label1.Location = new System.Drawing.Point(20, 94);"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,194,12,T:System.Windows.Forms.Label,,,,,this.label1.AutoSize = true;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,194,12,P:System.Windows.Forms.Label.AutoSize,,,,,this.label1.AutoSize = true;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,190,12,T:System.Windows.Forms.Label,,,,,"this.label2.Text = ""Cold Restart Delay"";"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,190,12,P:System.Windows.Forms.Label.Text,,,,,"this.label2.Text = ""Cold Restart Delay"";"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,189,12,T:System.Windows.Forms.Label,,,,,this.label2.TabIndex = 6;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,189,12,P:System.Windows.Forms.Control.TabIndex,,,,,this.label2.TabIndex = 6;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,188,12,T:System.Windows.Forms.Label,,,,,"this.label2.Size = new System.Drawing.Size(95, 13);"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,188,12,P:System.Windows.Forms.Control.Size,,,,,"this.label2.Size = new System.Drawing.Size(95, 13);"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,187,12,T:System.Windows.Forms.Label,,,,,"this.label2.Name = ""label2"";"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,187,12,P:System.Windows.Forms.Control.Name,,,,,"this.label2.Name = ""label2"";"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,186,12,T:System.Windows.Forms.Label,,,,,"this.label2.Location = new System.Drawing.Point(20, 148);"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,186,12,P:System.Windows.Forms.Control.Location,,,,,"this.label2.Location = new System.Drawing.Point(20, 148);"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,185,12,T:System.Windows.Forms.Label,,,,,this.label2.AutoSize = true;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,185,12,P:System.Windows.Forms.Label.AutoSize,,,,,this.label2.AutoSize = true;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,181,12,T:System.Windows.Forms.GroupBox,,,,,"this.groupBox1.Text = ""Simulated Behavior"";"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,181,12,P:System.Windows.Forms.GroupBox.Text,,,,,"this.groupBox1.Text = ""Simulated Behavior"";"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,180,12,T:System.Windows.Forms.GroupBox,,,,,this.groupBox1.TabStop = false;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,180,12,P:System.Windows.Forms.GroupBox.TabStop,,,,,this.groupBox1.TabStop = false;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,179,12,T:System.Windows.Forms.GroupBox,,,,,this.groupBox1.TabIndex = 1;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,179,12,P:System.Windows.Forms.Control.TabIndex,,,,,this.groupBox1.TabIndex = 1;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,178,12,T:System.Windows.Forms.GroupBox,,,,,"this.groupBox1.Size = new System.Drawing.Size(163, 265);"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,178,12,P:System.Windows.Forms.Control.Size,,,,,"this.groupBox1.Size = new System.Drawing.Size(163, 265);"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,177,12,T:System.Windows.Forms.GroupBox,,,,,"this.groupBox1.Name = ""groupBox1"";"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,177,12,P:System.Windows.Forms.Control.Name,,,,,"this.groupBox1.Name = ""groupBox1"";"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,176,12,T:System.Windows.Forms.GroupBox,,,,,"this.groupBox1.Location = new System.Drawing.Point(21, 13);"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,176,12,P:System.Windows.Forms.Control.Location,,,,,"this.groupBox1.Location = new System.Drawing.Point(21, 13);"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,175,12,T:System.Windows.Forms.CheckBox,,,,,this.groupBox1.Controls.Add(this.checkBoxNeedTime);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,175,12,T:System.Windows.Forms.GroupBox,,,,,this.groupBox1.Controls.Add(this.checkBoxNeedTime);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,175,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.groupBox1.Controls.Add(this.checkBoxNeedTime);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,175,12,P:System.Windows.Forms.Control.Controls,,,,,this.groupBox1.Controls.Add(this.checkBoxNeedTime);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,175,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.groupBox1.Controls.Add(this.checkBoxNeedTime);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,174,12,T:System.Windows.Forms.CheckBox,,,,,this.groupBox1.Controls.Add(this.checkBoxLocalMode);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,174,12,T:System.Windows.Forms.GroupBox,,,,,this.groupBox1.Controls.Add(this.checkBoxLocalMode);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,174,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.groupBox1.Controls.Add(this.checkBoxLocalMode);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,174,12,P:System.Windows.Forms.Control.Controls,,,,,this.groupBox1.Controls.Add(this.checkBoxLocalMode);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,174,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.groupBox1.Controls.Add(this.checkBoxLocalMode);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,173,12,T:System.Windows.Forms.NumericUpDown,,,,,this.groupBox1.Controls.Add(this.numericUpDownColdRestartTime);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,173,12,T:System.Windows.Forms.GroupBox,,,,,this.groupBox1.Controls.Add(this.numericUpDownColdRestartTime);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,173,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.groupBox1.Controls.Add(this.numericUpDownColdRestartTime);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,173,12,P:System.Windows.Forms.Control.Controls,,,,,this.groupBox1.Controls.Add(this.numericUpDownColdRestartTime);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,173,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.groupBox1.Controls.Add(this.numericUpDownColdRestartTime);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,172,12,T:System.Windows.Forms.ComboBox,,,,,this.groupBox1.Controls.Add(this.comboBoxColdRestartMode);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,172,12,T:System.Windows.Forms.GroupBox,,,,,this.groupBox1.Controls.Add(this.comboBoxColdRestartMode);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,172,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.groupBox1.Controls.Add(this.comboBoxColdRestartMode);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,172,12,P:System.Windows.Forms.Control.Controls,,,,,this.groupBox1.Controls.Add(this.comboBoxColdRestartMode);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,172,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.groupBox1.Controls.Add(this.comboBoxColdRestartMode);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,171,12,T:System.Windows.Forms.Label,,,,,this.groupBox1.Controls.Add(this.label1);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,171,12,T:System.Windows.Forms.GroupBox,,,,,this.groupBox1.Controls.Add(this.label1);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,171,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.groupBox1.Controls.Add(this.label1);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,171,12,P:System.Windows.Forms.Control.Controls,,,,,this.groupBox1.Controls.Add(this.label1);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,171,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.groupBox1.Controls.Add(this.label1);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,170,12,T:System.Windows.Forms.Label,,,,,this.groupBox1.Controls.Add(this.label2);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,170,12,T:System.Windows.Forms.GroupBox,,,,,this.groupBox1.Controls.Add(this.label2);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,170,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.groupBox1.Controls.Add(this.label2);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,170,12,P:System.Windows.Forms.Control.Controls,,,,,this.groupBox1.Controls.Add(this.label2);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,170,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.groupBox1.Controls.Add(this.label2);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,165,12,P:System.Windows.Forms.Control.TabIndex,,,,,this.measurementView.TabIndex = 3;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,164,12,P:System.Windows.Forms.Control.Size,,,,,"this.measurementView.Size = new System.Drawing.Size(877, 268);"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,163,12,P:System.Windows.Forms.Control.Name,,,,,"this.measurementView.Name = ""measurementView"";"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,162,12,P:System.Windows.Forms.Control.Location,,,,,"this.measurementView.Location = new System.Drawing.Point(0, 0);"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\OutstationForm.Designer.cs,161,12,T:System.Windows.Forms.DockStyle,,,,,this.measurementView.Dock = System.Windows.Forms.DockStyle.Fill;
