Identyfikator problemu,Opis,Stan,Ważność,Punkty scenariusza,Ścieżka projektu,Rodzaj lokalizacji,ŚCIEŻKA,Wiersz,Kolumna,Identyfikator zdarzenia,Link pomocy,Nazwa zestawu,Wersja zestawu,Klucz publiczny zestawu,Fragment kodu
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,131,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.checkBox2);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,130,12,T:System.Windows.Forms.CheckBox,,,,,this.Controls.Add(this.checkBox3);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,130,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.checkBox3);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,130,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.checkBox3);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,130,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.checkBox3);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,129,12,T:System.Windows.Forms.CheckBox,,,,,this.Controls.Add(this.checkBox4);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,129,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.checkBox4);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,129,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.checkBox4);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,129,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.checkBox4);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,128,12,T:System.Windows.Forms.CheckBox,,,,,this.Controls.Add(this.checkBox5);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,128,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.checkBox5);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,128,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.checkBox5);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,128,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.checkBox5);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,127,12,T:System.Windows.Forms.CheckBox,,,,,this.Controls.Add(this.checkBox6);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,127,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.checkBox6);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,127,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.checkBox6);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,127,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.checkBox6);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,126,12,T:System.Windows.Forms.CheckBox,,,,,this.Controls.Add(this.checkBox7);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,126,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.checkBox7);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,126,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.checkBox7);
